new_id,prob1
6,0.08534
7,0.1298
8,0.00123
10,0.06719
11,0.00209
12,0.98867
18,0.99982
22,0.00083
25,0.98162
29,0.71304
35,0.1339
40,0.00479
41,0.59832
42,0.98611
44,0.86471
46,0.67061
48,0.99906
51,0.00059
54,0.40772
55,0.05071
56,0.99754
58,0.87863
60,0.99208
63,0.04615
65,0.99994
68,0.97548
71,0.00246
72,0.69609
75,0.06042
78,0.45174
80,0.76814
81,0.0486
83,0.06528
86,0.8243
89,0.04076
90,0.67871
92,0.77495
97,0.00616
104,0.80819
105,0.95112
108,0.93422
109,9e-05
112,0.21564
114,0.99063
122,0.99579
123,0.15797
124,0.91035
130,0.78975
134,0.08131
135,0.57579
140,0.0033
142,0.90105
143,0.44241
145,0.25953
147,0.08177
151,0.88263
152,0.00015
153,0.98838
156,0.8902
159,0.86766
166,0.48661
167,0.80151
169,0.86884
170,0.07717
171,0.00938
175,0.00247
176,0.00517
180,0.93168
186,0.82976
189,0.4729
190,0.91112
191,0.3061
197,0.88082
198,0.02602
199,0.99733
200,0.0224
203,0.03516
205,0.05328
208,0.0004
209,0.61762
210,0.04768
213,0.92566
214,0.7432
215,0.00994
221,0.87822
223,0.98486
224,0.05106
225,0.98456
227,0.47537
229,0.80377
230,0.6684
231,0.94702
232,0.09614
234,0.03859
236,0.98411
237,0.98404
238,0.03967
240,0.98298
241,0.00294
242,0.00144
243,0.28088
244,0.95574
245,0.0024
249,0.99741
251,0.99642
256,0.74853
257,0.25428
259,0.00559
261,0.13322
262,0.53133
264,0.67493
267,0.9608
268,0.01749
270,0.75074
273,0.99959
276,0.91445
277,0.97994
280,0.79076
281,0.01158
283,0.98965
284,0.99396
285,0.7673
289,0.04336
291,0.99867
294,0.91472
297,0.98189
298,0.20393
302,0.92227
304,0.95184
305,0.94473
306,0.98568
310,0.02847
312,0.65847
316,0.06037
319,0.49248
320,0.00154
323,0.73493
324,0.00531
325,0.0028
334,0.94178
336,0.77107
337,0.00527
338,0.16892
340,0.56175
341,0.45944
342,0.76683
345,0.37663
346,0.104
348,0.04144
350,0.98225
351,0.0179
352,0.97965
357,0.89989
359,1e-05
361,0.72134
362,0.21497
363,1.0
364,0.50277
365,0.00153
366,0.9172
368,9e-05
369,0.01289
372,0.99267
375,0.11111
377,0.04275
378,0.73756
379,0.07661
380,0.22147
381,0.93352
382,0.99669
384,9e-05
385,0.2189
389,0.57411
390,0.01057
392,0.00119
394,0.98117
396,0.98602
399,0.0369
401,0.93211
402,0.56996
403,0.8263
404,0.98361
405,0.99727
406,0.9985
408,0.8256
409,0.07616
412,0.85424
415,0.00044
416,0.01126
418,0.99832
419,0.40185
420,0.03731
421,0.97549
424,0.01612
425,0.06518
426,0.00039
427,0.0672
428,0.94168
429,0.93747
430,0.0247
431,0.58565
433,0.17616
436,0.9922
437,0.42682
439,0.01107
440,0.99688
442,0.96586
444,0.95655
445,0.99669
447,0.54545
448,0.97625
450,0.89542
452,0.95576
455,0.07654
457,0.04603
458,0.96807
460,0.30186
461,0.13469
462,0.95428
466,0.02213
467,0.97689
468,0.01313
471,1e-05
472,0.0406
475,0.00539
478,0.98859
479,0.00518
480,0.49708
490,0.99848
492,0.00146
493,0.00838
494,0.96544
495,0.89742
497,0.00952
498,0.03723
503,0.00084
505,0.98938
508,0.14211
510,0.60513
512,0.04778
514,0.1502
515,0.02565
516,0.04605
519,0.0034
523,0.02367
526,0.09893
527,0.58168
529,0.39279
530,0.007
535,0.99733
536,0.41142
539,0.96314
542,0.00857
543,0.01578
545,0.75274
546,0.00175
547,0.99696
548,0.00596
549,6e-05
550,0.02108
553,0.00045
557,0.06113
558,0.0382
559,0.13223
561,0.78393
562,0.0647
564,0.66929
565,0.26624
567,0.68729
568,0.66004
570,0.61563
572,0.58849
574,0.05456
575,0.99852
577,0.00021
579,0.46046
582,0.02293
586,0.01116
587,0.01301
589,0.03132
593,0.99889
594,0.72765
595,0.50421
597,0.97031
599,0.91279
600,0.07457
602,0.13105
607,0.38226
608,0.08097
609,0.04117
613,3e-05
616,0.12095
621,0.14687
